name,address,address_url,phone,website_url,services,extra_locations,source
Advanced Docks and Lifts,"35398 Cty Hwy 1 Battle Lake, MN 56515",https://maps.google.com/?q=35398+Cty+Hwy+1+Battle+Lake%2C+MN+56515,218-495-2811,,docks & lifts,,table_format
Advanced Sales,"108 Memory Lane Battle Lake, MN 56515",https://maps.google.com/?q=108+Memory+Lane+Battle+Lake%2C+MN+56515,218-862-2277,,docks & lifts,,table_format
Advanced Auto & Marine,"403 E Main St. Ottertail, MN 56571",https://maps.google.com/?q=403+E+Main+St.+Ottertail%2C+MN+56571,218-367-5100,,docks & lifts,,table_format
Anytime Trailer Rental,"17292 50th Ave, Chippewa Falls, WI 54729",https://maps.google.com/?q=17292+50th+Ave%2C+Chippewa+Falls%2C+WI+54729,715-829-4685,,docks & lifts,,table_format
Awaken Marine,"25272 Hwy 27 Holcombe, WI 54745",https://maps.google.com/?q=25272+Hwy+27+Holcombe%2C+WI+54745,715-312-4020,,docks & lifts,,table_format
Biegler’s C & S Motorsports,1502 6th Ave SW Aberdeen SD 57401,https://maps.google.com/?q=1502+6th+Ave+SW+Aberdeen+SD+57401,605-225-4533,,docks & lifts,,table_format
Cabin & Lawn Care,"14538 S Lidberg Bridge Rd Gordon, WI 54838",https://maps.google.com/?q=14538+S+Lidberg+Bridge+Rd+Gordon%2C+WI+54838,218-591-0942,,docks & lifts,,table_format
Davis Sale & Service Inc,3 4th St NW Madelia MN 56062,https://maps.google.com/?q=3+4th+St+NW+Madelia+MN+56062,507-642-3563,,docks & lifts,,table_format
Dock Guys LLC.,83 CUSHMAN RD Winslow ME 04901,https://maps.google.com/?q=83+CUSHMAN+RD+Winslow+ME+04901,207-873-7198,,docks & lifts,,table_format
DTM Fleet Service,17000 HWY 10 NW Royalton MN 56373,https://maps.google.com/?q=17000+HWY+10+NW+Royalton+MN+56373,320-266-2319,,docks & lifts,,table_format
Elite Dock & Lift,"N15822 Tamarack Road Butternut, WI 54514",https://maps.google.com/?q=N15822+Tamarack+Road+Butternut%2C+WI+54514,715-661-0889,,docks & lifts,,table_format
"Hill Country Pontoons, LLC","26581 Jackson Drive Muscoda, WI 53573",https://maps.google.com/?q=26581+Jackson+Drive+Muscoda%2C+WI+53573,608-553-1977,,docks & lifts,,table_format
Jim’s Trailers Plus Marine,"3847 MN-371 NW Hackensack, MN 56452",https://maps.google.com/?q=3847+MN-371+NW+Hackensack%2C+MN+56452,218-675-7500,,docks & lifts,,table_format
Kountry Side Sales,"W1475 Hwy 63 Hayward, WI 54843",https://maps.google.com/?q=W1475+Hwy+63+Hayward%2C+WI+54843,715-634-2297,,docks & lifts,,table_format
Lakeshore Dock and Lift,"853 25 3/8 Street Chetek, WI 54728",https://maps.google.com/?q=853+25+3/8+Street+Chetek%2C+WI+54728,715-205-4164,,docks & lifts,,table_format
Lake Weeders Digest,"5620 International Pkwy New Hope, MN 55428",https://maps.google.com/?q=5620+International+Pkwy+New+Hope%2C+MN+55428,763-551-1441,,docks & lifts,,table_format
Lifts and Docks,"Rhinelander, WI, 54501",https://maps.google.com/?q=Rhinelander%2C+WI%2C+54501,715-420-2442,,docks & lifts,,table_format
Minnewaska Marine,"496 South Main Street Starbuck, MN 56381",https://maps.google.com/?q=496+South+Main+Street+Starbuck%2C+MN+56381,320-239-2293,,docks & lifts,,table_format
