url,text,type
https://jblunddock.com/contact/,Contact Us,external
"https://www.google.com/maps/place/Advanced+Docks+%26+Lifts/@46.3836932,-95.7444554,17z/data=!4m15!1m8!3m7!1s0x52c9be3af266284d:0xebf2b08bc4b30ea5!2s35398+Co+Hwy+1,+Battle+Lake,+MN+56515!3b1!8m2!3d46.3836932!4d-95.7444554!16s%2Fg%2F11cpn2b4bj!3m5!1s0x52c9be3ae1737f03:0x3cea8433770898ad!8m2!3d46.3836304!4d-95.744553!16s%2Fg%2F1232rbjn8?entry=ttu",35398 Cty Hwy 1,external
"https://www.google.com/maps/place/Advanced+Docks+%26+Lifts/@46.3836932,-95.7444554,17z/data=!4m15!1m8!3m7!1s0x52c9be3af266284d:0xebf2b08bc4b30ea5!2s35398+Co+Hwy+1,+Battle+Lake,+MN+56515!3b1!8m2!3d46.3836932!4d-95.7444554!16s%2Fg%2F11cpn2b4bj!3m5!1s0x52c9be3ae1737f03:0x3cea8433770898ad!8m2!3d46.3836304!4d-95.744553!16s%2Fg%2F1232rbjn8?entry=ttu","Battle Lake, MN 56515",external
tel:2184952811,218-495-2811,internal
http://advanceddocksandlifts.com,Website,external
"https://www.google.com/maps/place/Advanced+Sales/@46.2755585,-95.7198936,17z/data=!4m15!1m8!3m7!1s0x52c993a24601c7ab:0xa9b502ed2920aa47!2s108+Memory+Ln,+Battle+Lake,+MN+56515!3b1!8m2!3d46.2755585!4d-95.7173133!16s%2Fg%2F11b8v4mv0b!3m5!1s0x52c9be3ae1746381:0xbbc315a3a053560f!8m2!3d46.2755978!4d-95.7172777!16s%2Fg%2F1tfxxpbq?entry=ttu",108 Memory Lane,external
"https://www.google.com/maps/place/Advanced+Sales/@46.2755585,-95.7198936,17z/data=!4m15!1m8!3m7!1s0x52c993a24601c7ab:0xa9b502ed2920aa47!2s108+Memory+Ln,+Battle+Lake,+MN+56515!3b1!8m2!3d46.2755585!4d-95.7173133!16s%2Fg%2F11b8v4mv0b!3m5!1s0x52c9be3ae1746381:0xbbc315a3a053560f!8m2!3d46.2755978!4d-95.7172777!16s%2Fg%2F1tfxxpbq?entry=ttu","Battle Lake, MN 56515",external
tel:2188622277,218-862-2277,internal
http://advancedsalesk-bid.com,Website,external
"https://www.google.com/maps/place/Advanced+Auto+%26+Marine/@46.4251064,-95.5489182,17z/data=!4m15!1m8!3m7!1s0x52c9c31c0b4833fd:0xc10056c69d68d904!2s403+Main+St+E,+Ottertail,+MN+56571!3b1!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F11f65fcrhy!3m5!1s0x52c9c322315db457:0x477ef24dbc4ed61e!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F1tf47tcg?entry=ttu",403 E Main St.,external
